,C,JPM,USB,WFC,BAC,MS
20140625 20:15:54,43.16,46.79,57.38,52.05,15.54,32.09
20140625 20:15:55,43.16,46.79,57.38,52.04,15.54,32.09
20140625 20:15:56,43.16,46.79,57.38,52.05,15.54,32.09
20140625 20:15:57,43.16,46.79,57.38,52.05,15.54,32.09
20140625 20:15:58,43.15,46.79,57.38,52.05,15.54,32.09
20140625 20:15:59,43.15,46.79,57.38,52.05,15.54,32.09
20140625 20:16:00,43.15,46.79,57.38,52.05,15.54,32.09
20140625 20:16:01,43.14,46.79,57.37,52.06,15.54,32.09
20140625 20:16:02,43.14,46.79,57.37,52.06,15.54,32.1
20140625 20:16:03,43.14,46.79,57.37,52.05,15.54,32.1
20140625 20:16:04,43.14,46.79,57.37,52.04,15.54,32.1
20140625 20:16:05,43.14,46.79,57.37,52.04,15.54,32.09
20140625 20:16:06,43.12,46.79,57.38,52.04,15.54,32.09
20140625 20:16:07,43.12,46.79,57.38,52.06,15.54,32.09
20140625 20:16:08,43.12,46.79,57.38,52.06,15.54,32.09
20140625 20:16:09,43.12,46.79,57.38,52.06,15.54,32.1
20140625 20:16:10,43.12,46.79,57.38,52.02,15.54,32.1
20140625 20:16:11,43.12,46.79,57.38,52.08,15.54,32.1
20140625 20:16:12,43.12,46.79,57.38,52.08,15.54,32.1
20140625 20:16:13,43.12,46.79,57.38,52.09,15.54,32.11
20140625 20:16:14,43.11,46.79,57.38,52.06,15.54,32.11
20140625 20:16:15,43.11,46.79,57.38,52.06,15.54,32.11
20140625 20:16:16,43.11,46.79,57.38,52.06,15.54,32.09
20140625 20:16:17,43.11,46.79,57.38,52.05,15.54,32.09
20140625 20:16:18,43.09,46.79,57.38,52.08,15.54,32.09
20140625 20:16:19,43.09,46.79,57.38,52.08,15.54,32.09
20140625 20:16:20,43.09,46.79,57.38,52.08,15.54,32.09
20140625 20:16:21,43.09,46.79,57.38,52.07,15.54,32.09
20140625 20:16:22,43.09,46.79,57.38,52.06,15.54,32.1
20140625 20:16:23,43.09,46.79,57.38,52.07,15.54,32.09
20140625 20:16:24,43.09,46.79,57.38,52.07,15.54,32.09
20140625 20:16:25,43.09,46.79,57.38,52.07,15.54,32.11
20140625 20:16:26,43.09,46.79,57.38,52.07,15.54,32.11
20140625 20:16:27,43.09,46.79,57.37,52.08,15.54,32.1
20140625 20:16:28,43.09,46.79,57.37,52.07,15.54,32.09
20140625 20:16:29,43.09,46.79,57.37,52.07,15.54,32.09
20140625 20:16:30,43.09,46.79,57.38,52.09,15.54,32.09
20140625 20:16:31,43.09,46.79,57.38,52.09,15.54,32.1
20140625 20:16:32,43.09,46.79,57.37,52.09,15.54,32.09
20140625 20:16:33,43.09,46.79,57.38,52.09,15.54,32.1
20140625 20:16:34,43.09,46.79,57.38,52.09,15.54,32.11
20140625 20:16:35,43.09,46.79,57.38,52.09,15.54,32.11
20140625 20:16:36,43.09,46.79,57.38,52.09,15.54,32.11
20140625 20:16:37,43.09,46.79,57.38,52.09,15.54,32.11
20140625 20:16:38,43.09,46.79,57.38,52.1,15.54,32.11
20140625 20:16:39,43.09,46.79,57.38,52.1,15.54,32.11
20140625 20:16:40,43.09,46.79,57.38,52.1,15.54,32.11
20140625 20:16:41,43.09,46.79,57.38,52.1,15.54,32.11
20140625 20:16:42,43.09,46.79,57.39,52.09,15.54,32.09
20140625 20:16:43,43.09,46.79,57.39,52.09,15.54,32.09
20140625 20:16:44,43.09,46.79,57.39,52.09,15.54,32.09
20140625 20:16:45,43.09,46.79,57.39,52.09,15.54,32.09
20140625 20:16:46,43.09,46.79,57.37,52.09,15.54,32.09
20140625 20:16:47,43.09,46.79,57.37,52.09,15.54,32.09
20140625 20:16:48,43.09,46.79,57.37,52.07,15.54,32.09
20140625 20:16:49,43.09,46.79,57.37,52.07,15.54,32.09
20140625 20:16:50,43.09,46.79,57.37,52.07,15.54,32.09
20140625 20:16:51,43.09,46.79,57.37,52.07,15.54,32.09
20140625 20:16:52,43.09,46.79,57.37,52.07,15.54,32.09
20140625 20:16:53,43.09,46.79,57.38,52.09,15.54,32.09
20140625 20:16:54,43.12,46.79,57.38,52.09,15.54,32.09
20140625 20:16:55,43.12,46.79,57.38,52.09,15.54,32.09
20140625 20:16:56,43.12,46.79,57.38,52.07,15.54,32.09
20140625 20:16:57,43.16,46.79,57.37,52.07,15.54,32.09
20140625 20:16:58,43.16,46.79,57.39,52.07,15.54,32.09
20140625 20:16:59,43.16,46.79,57.39,52.07,15.54,32.1
20140625 20:17:00,43.16,46.79,57.38,52.07,15.54,32.1
20140625 20:17:01,43.16,46.79,57.38,52.07,15.54,32.1
20140625 20:17:02,43.16,46.79,57.38,52.09,15.54,32.1
20140625 20:17:03,43.16,46.79,57.37,52.06,15.54,32.09
20140625 20:17:04,43.16,46.79,57.37,52.06,15.54,32.09
20140625 20:17:05,43.16,46.79,57.37,52.06,15.54,32.1
20140625 20:17:06,43.16,46.79,57.38,52.11,15.54,32.09
20140625 20:17:07,43.16,46.79,57.38,52.11,15.54,32.09
20140625 20:17:08,43.16,46.79,57.38,52.04,15.54,32.1
20140625 20:17:09,43.16,46.79,57.37,52.05,15.54,32.09
20140625 20:17:10,43.16,46.79,57.37,52.05,15.54,32.09
20140625 20:17:11,43.16,46.79,57.37,52.05,15.54,32.1
20140625 20:17:12,43.16,46.79,57.38,52.05,15.54,32.09
20140625 20:17:13,43.16,46.79,57.38,52.04,15.54,32.09
20140625 20:17:14,43.16,46.79,57.38,52.05,15.54,32.1
20140625 20:17:15,43.16,46.79,57.38,52.05,15.54,32.1
20140625 20:17:16,43.14,46.79,57.38,52.04,15.54,32.1
20140625 20:17:17,43.14,46.79,57.38,52.02,15.54,32.1
20140625 20:17:18,43.14,46.79,57.38,52.02,15.54,32.11
20140625 20:17:19,43.14,46.79,57.38,52.02,15.54,32.1
20140625 20:17:20,43.14,46.79,57.38,52.02,15.54,32.1
20140625 20:17:21,43.14,46.79,57.37,52.05,15.54,32.09
20140625 20:17:22,43.14,46.79,57.37,52.02,15.54,32.1
20140625 20:17:23,43.14,46.79,57.37,52.02,15.54,32.09
20140625 20:17:24,43.14,46.79,57.38,52.02,15.54,32.09
20140625 20:17:25,43.14,46.79,57.38,52.03,15.54,32.1
20140625 20:17:26,43.14,46.79,57.38,52.03,15.54,32.1
20140625 20:17:27,43.14,46.79,57.39,52.02,15.54,32.09
20140625 20:17:28,43.14,46.79,57.39,52.02,15.54,32.09
20140625 20:17:29,43.14,46.79,57.39,52.02,15.54,32.11
20140625 20:17:30,43.14,46.79,57.39,52.02,15.54,32.11
20140625 20:17:31,43.14,46.79,57.39,52.02,15.54,32.1
20140625 20:17:32,43.14,46.79,57.39,52.02,15.54,32.1
20140625 20:17:33,43.14,46.79,57.39,52.02,15.54,32.09
20140625 20:17:34,43.14,46.79,57.39,52.02,15.54,32.09
20140625 20:17:35,43.14,46.79,57.39,52.01,15.54,32.09
20140625 20:17:36,43.14,46.79,57.38,52.02,15.54,32.09
20140625 20:17:37,43.14,46.79,57.38,52.02,15.54,32.11
20140625 20:17:38,43.14,46.79,57.38,52.02,15.54,32.11
20140625 20:17:39,43.14,46.79,57.39,52.01,15.54,32.11
20140625 20:17:40,43.14,46.79,57.39,52.01,15.54,32.11
20140625 20:17:41,43.14,46.79,57.39,52.0,15.54,32.1
20140625 20:17:42,43.14,46.79,57.38,52.01,15.54,32.1
20140625 20:17:43,43.14,46.79,57.38,52.01,15.54,32.1
